SN,TEST_NAME,sub_test_name,test_result,lower_limit,upper_limit,test_value,process,mapping_process,endtime,[station_id],[fixture_id]
FM79141013DM0XDEE13,A022.N,A022.N,pass,-0.005,0.155,0.088,ump-t3,sp-wld1,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79212004SL82LCK22,126.N,126.N,pass,0.145,0.355,0.223,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7920700Y6L82KCN19,336.L,336.L,pass,13.095,13.205,13.143,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79136001RM0XDE713,A121.N,A121.N,pass,8.535,8.885,8.698,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79212004SL82LCK22,094.L,094-S.L,pass,0.825,0.945,0.86,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921300K4L82LCV22,560.N,560-02.N,pass,1.315,1.385,1.338,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700CQM0XDE813,A121.N,A121.N,pass,8.535,8.885,8.732,ump-t3,la-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79141013DM0XDEE13,A038.N,A038-LR.N,pass,-0.025,0.025,0.001,ump-t3,Grinding,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921100M6L82LCP22,590.L,590.L,pass,0.815,0.975,0.893,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700LKM0XDEP13,531.Z,531-05.Z,pass,-0.005,0.305,0.157,ump-t3,CNC5-1,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700LKM0XDEP13,A144.N,A144-LA13.N,pass,3.735,3.995,3.884,ump-t3,la-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921200E0L82LCF22,123.L,123.L,pass,0.01,0.22,0.074,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914300SPM0XCE313,A138.N,A138.N,pass,25.855,26.165,26.148,ump-t3,mlb-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921100M6L82LCP22,327.L,327.L,pass,2.095,2.205,2.184,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79204009KM0XDC519,488.L,488.L,pass,1.365,1.485,1.429,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79213007RL82LCA22,569.N,569.N,pass,0,0.155,0.051,ump-t1,CNC6,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921201M9L82LCJ22,491.L,491.L,pass,1.395,1.555,1.515,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79136001RM0XDE713,A161.N,A161-B3.N,pass,0.405,0.815,0.511,ump-t3,ua-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79136001RM0XDE713,A001.N,A001-25.N,pass,4.615,4.855,4.745,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921300MDL82LCE22,569.N,569.N,pass,0,0.155,0.071,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7920300A9M0XDCD19,470.L,470-TN.L,pass,0.145,0.265,0.216,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79136001RM0XDE713,A144.N,A144-LA05.N,pass,3.025,3.285,3.147,ump-t3,bd-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7914100KLM0XDEU13,A144.N,A144-LA05.N,pass,3.025,3.285,3.128,ump-t3,bd-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921202C1L82LCJ22,471.L,471.L,pass,0.145,0.265,0.237,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79141013DM0XDEE13,A022.N,A022.N,pass,-0.005,0.155,0.088,ump-t3,sp-wld1,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921300MDL82LCE22,580.N,580-07.N,pass,1.315,1.385,1.341,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921100RKL82LCY22,130.N,130.N,pass,1.805,1.855,1.823,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921100BGL82JAH22,450.L,450-05.L,pass,0.01,0.22,0.086,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700XDM0XDEW13,A144.N,A144-LA03.N,pass,2.235,2.495,2.323,ump-t3,CNC7,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79213006QL82LCE22,107.L,107.L,pass,1.805,1.855,1.821,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914400Q5M0XCES13,A326.Y,A326-M.Y,pass,0,0.065,0.011,ump-t3,trim-sp-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7914401EZM0XCET13,A109.N,A109.N,pass,13.435,13.745,13.541,ump-t3,mlb-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79136001RM0XDE713,A023.N,A023.N,pass,-0.005,0.205,0.094,ump-t3,sp-wld1,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79213002HL82LCZ22,471.L,471-TS.L,pass,0.145,0.265,0.23,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM792070008L82JCF19,328.N,328.N,pass,1.265,1.335,1.318,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79137020YM0XDE013,531.Z,531-05.Z,pass,-0.005,0.305,0.125,ump-t3,CNC5-1,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921100P7L82LCG22,SIM.L,SIM-BIN.L,pass,-0.075,0.075,-0.015,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914100BFM0XDEP13,A115.N,A115-B3.N,pass,12.055,12.465,12.23,ump-t3,ua-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921100P7L82LCG22,491.L,491.L,pass,1.395,1.555,1.491,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM792070109L82KCC19,473.L,473-TU.L,pass,0.145,0.265,0.194,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM792060108M0XDC619,336.L,336.L,pass,13.095,13.205,13.16,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921202DNL82LCU22,486.L,486-B01.L,pass,1.365,1.485,1.392,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914100KLM0XDEU13,A040.Z,A040.Z,pass,-0.025,0.025,0.008,ump-t3,Grinding,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79144018MM0XCEP13,A326.Y,A326-M.Y,pass,0,0.065,0.007,ump-t3,trim-sp-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7914300SPM0XCE313,A109.N,A109.N,pass,13.435,13.745,13.547,ump-t3,mlb-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921201M9L82LCJ22,569.N,569.N,pass,0,0.155,0.071,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM792070032L82JCC19,123.L,123-05.L,pass,0.01,0.22,0.069,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921300R9L82LC622,482.L,482-S.L,pass,0.825,0.945,0.885,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7913700XDM0XDEW13,A144.N,A144-LA11.N,pass,3.455,3.715,3.653,ump-t3,la-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7920300A9M0XDCD19,560.N,560-01.N,pass,1.315,1.385,1.362,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79141013DM0XDEE13,A040.Z,A040.Z,pass,-0.025,0.025,0.011,ump-t3,Grinding,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700XDM0XDEW13,A124.N,A124.N,pass,32.235,32.645,32.48,ump-t3,ua-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700XDM0XDEW13,A004.Y,A004.Y,pass,75.065,75.295,75.099,ump-t3,sp-wld1,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921202B4L82LCJ22,472.L,472-TU.L,pass,0.145,0.265,0.244,ump-t1,CNC5-2,2019.05.26,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700F6M0XDEH13,A022.N,A022-35.N,pass,-0.005,0.155,-0.106,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79136001RM0XDE713,A119.N,A119.N,pass,10.815,11.225,11.009,ump-t3,ua-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921300MDL82LCE22,469.L,469-TN.L,pass,0.145,0.265,0.205,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921100LGL82LCG22,094.L,094-S.L,pass,0.825,0.945,0.876,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921100Q3L82LCH22,010.L,010-01.L,pass,0.895,1.105,1.03,ump-t1,Grinding,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914401EZM0XCET13,711.Z,711-11.Z,pass,-0.085,0.085,0,ump-t3,polish1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79136001RM0XDE713,A139.N,A139.N,pass,5.635,5.945,5.736,ump-t3,la-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700CQM0XDE813,A022.N,A022-09.N,pass,-0.005,0.155,0.255,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79136001RM0XDE713,A224.Y,A224-M02.Y,pass,0.455,0.615,0.509,ump-t3,trim-sp-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921201M9L82LCJ22,148.L,148.L,pass,1.805,1.855,1.838,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM792060046L82JC619,237.N,237.N,pass,0.405,0.515,0.431,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79205019LL82KCA19,560.N,560.N,pass,1.315,1.385,1.355,ump-t1,CNC6,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79212012WL82LCL22,257.S,257.S,pass,0.615,1.025,0.838,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921202A1L82LCQ22,590.L,590.L,pass,0.815,0.975,0.884,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921201M9L82LCJ22,639.S,639.S,pass,0.185,0.495,0.337,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921202BRL82LCX22,484.L,484.L,pass,1.365,1.485,1.437,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79212012WL82LCL22,108.L,108.L,pass,1.805,1.855,1.815,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700LKM0XDEP13,A014.N,A014-Offset.N,pass,0.037,0.292,0.187,ump-t3,BGASSY,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921100BGL82JAH22,453.L,453-14.L,pass,0.01,0.22,0.102,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7920700F9L82JC319,237.N,237-05.N,pass,0.405,0.515,0.461,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7913700XDM0XDEW13,A004.Y,A004-13.Y,pass,75.065,75.295,75.093,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79141013DM0XDEE13,A225.N,A225-B3.N,pass,1.115,1.525,1.14,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921200U3L82LC422,589.L,589-01.L,pass,-0.055,0.055,0.02,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700CQM0XDE813,A224.Y,A224-A01.Y,pass,0.455,0.615,0.485,ump-t3,trim-sp-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921202DNL82LCU22,486.L,486-B01.L,pass,1.365,1.485,1.392,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921201M9L82LCJ22,126.N,126-04.N,pass,0.145,0.355,0.195,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7920200YAM0XDCF19,450.L,450.L,pass,0.01,0.22,0.098,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79144018MM0XCEP13,129.Y,129-02.Y,pass,2.975,3.245,3.153,ump-t3,CNC5-2,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921202BRL82LCX22,450.L,450-09.L,pass,0.01,0.22,0.115,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79144018MM0XCEP13,A326.Y,A326-M.Y,pass,0,0.065,0.007,ump-t3,trim-sp-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921201C3L82LCH22,470.L,470.L,pass,0.145,0.265,0.185,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914400CLM0XCED13,A138.N,A138-B3.N,pass,25.855,26.165,0.987,ump-t3,mlb-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79212014SL82LCJ22,469.L,469-TD.L,pass,0.145,0.265,0.206,ump-t1,CNC5-2,2019.05.26,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79144018MM0XCEP13,A001.N,A001-10.N,pass,4.615,4.855,4.758,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79212012WL82LCL22,470.L,470.L,pass,0.145,0.265,0.2,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914300SPM0XCE313,711.Z,711-10.Z,pass,-0.085,0.085,0,ump-t3,polish1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79144018MM0XCEP13,A118.N,A118.N,pass,19.365,19.715,19.538,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79205008KL82KCF19,110.N,110.N,pass,5.555,5.665,5.614,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913701ZJM0XDEJ13,A022.N,A022-26.N,pass,-0.005,0.155,0.296,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7921300J7L82LCV22,639.S,639-01.S,pass,0.185,0.495,0.34,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79212000KL82LC422,094.L,094-S.L,pass,0.825,0.945,0.867,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM791960085L82JC319,450.L,450.L,pass,0.01,0.22,0.151,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700F6M0XDEH13,A116.N,A116-B3.N,pass,2.175,2.585,2.346,ump-t3,ua-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921100BGL82JAH22,124.N,124.N,pass,0.115,0.325,0.24,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100BGL82JAH22,269.S,269.S,pass,0.615,1.025,0.775,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79136001RM0XDE713,A022.N,A022-25.N,pass,-0.005,0.155,0.351,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921100BGL82JAH22,123.L,123-09.L,pass,0.01,0.22,0.095,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914401EZM0XCET13,A126.N,A126-B3.N,pass,24.325,24.735,6.682,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79136001RM0XDE713,A008.N,A008-South.N,pass,-1.5,1.9,0,ump-t3,CNC6,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM792060108M0XDC619,336.L,336.L,pass,13.095,13.205,13.16,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921200FLL82LCS22,107.L,107.L,pass,1.805,1.855,1.818,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921201C3L82LCH22,483.L,483-N.L,pass,0.825,0.945,0.886,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79144018MM0XCEP13,A224.Y,A224-M04.Y,pass,0.455,0.615,0.507,ump-t3,trim-sp-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79144018MM0XCEP13,A144.N,A144-LA11.N,pass,3.455,3.715,3.586,ump-t3,la-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM791430021M0XCEV13,A119.N,A119-B2.N,pass,10.815,11.225,10.879,ump-t3,ua-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM792060046L82JC619,469.L,469.L,pass,0.145,0.265,0.201,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914100KLM0XDEU13,A135.N,A135-B3.N,pass,1.035,1.345,25.828,ump-t3,mlb-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921100M6L82LCP22,470.L,470.L,pass,0.145,0.265,0.204,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700XDM0XDEW13,A326.Y,A326-M.Y,pass,0,0.065,0.011,ump-t3,trim-sp-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7920300A9M0XDCD19,638.S,638.S,pass,0.235,0.545,0.327,ump-t1,CNC7,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921300K4L82LCV22,490.L,490.L,pass,1.395,1.555,1.504,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7921300K4L82LCV22,234.N,234-02.N,pass,0.175,0.255,0.216,ump-t1,Grinding,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7917201EUL82JEZ16,580.N,580.N,pass,1.315,1.385,1.344,ump-t1,CNC6,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7913700CQM0XDE813,A042.Z,A042.Z,pass,-0.025,0.025,-0.009,ump-t3,Grinding,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921100BGL82JAH22,453.L,453-09.L,pass,0.01,0.22,0.141,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921300K4L82LCV22,473.L,473-TS.L,pass,0.145,0.265,0.238,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100RKL82LCY22,130.N,130.N,pass,1.805,1.855,1.823,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100RKL82LCY22,342.L,342.L,pass,0.065,0.185,0.138,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7914401NLM0XCEG13,A001.N,A001.N,pass,4.615,4.855,4.695,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700F6M0XDEH13,A008.N,A008-East.N,pass,-3.5,3.5,0,ump-t3,CNC6,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7913700CQM0XDE813,A121.N,A121.N,pass,8.535,8.885,8.732,ump-t3,la-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM79136001RM0XDE713,A036.N,A036-UR.N,pass,-0.025,0.025,-0.001,ump-t3,Grinding,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700XDM0XDEW13,A144.N,A144-LA03.N,pass,2.235,2.495,2.323,ump-t3,CNC7,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700CQM0XDE813,A022.N,A022-15-C3.N,pass,-0.005,0.155,0.086,ump-t3,sp-wld1,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7913700F6M0XDEH13,A121.N,A121-B1.N,pass,8.535,8.885,8.767,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79212004SL82LCK22,490.L,490.L,pass,1.395,1.555,1.505,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700XDM0XDEW13,A041.Z,A041.Z,pass,-0.025,0.025,0.006,ump-t3,Grinding,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM791370050M0XDEK13,A109.N,A109-B1.N,pass,13.435,13.745,13.575,ump-t3,mlb-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM792130176L82LCU22,470.L,470.L,pass,0.145,0.265,0.197,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7913701ZJM0XDEJ13,A224.Y,A224-A03.Y,pass,0.455,0.615,0.5,ump-t3,trim-sp-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7921100RVL82LCN22,051.L,051.L,pass,0,1.5,0,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79212000KL82LC422,162.N,162.N,pass,1.805,1.855,1.826,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7921100C8L82LCE22,490.L,490.L,pass,1.395,1.555,1.498,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913701ZJM0XDEJ13,A118.N,A118-B2.N,pass,19.365,19.715,19.53,ump-t3,la-nut-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7914100FCM0XDEE13,A147.N,A147-ML01.N,pass,3.975,4.235,4.085,ump-t3,mlb-nut-wld,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM791410018M0XDES13,A037.N,A037-LL.N,pass,-0.025,0.025,0.008,ump-t3,Grinding,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM791410018M0XDES13,A144.N,A144-LA04.N,pass,3.025,3.285,3.155,ump-t3,bd-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM792120286L82LCR22,237.N,237-03.N,pass,0.405,0.515,0.494,ump-t1,CNC6,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM7914100FCM0XDEE13,531.Z,531-33.Z,pass,-0.005,0.305,0.122,ump-t3,CNC5-1,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM791410018M0XDES13,A008.N,A008-West.N,pass,-3.5,3.5,0,ump-t3,CNC6,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM7914400Q5M0XCES13,157.Y,157.Y,pass,3.115,3.385,3.251,ump-t3,CNC5-2,2019.05.24,JACD_E04-2F-OQC01_1_OQC,NestPathLEFT
FM79141013DM0XDEE13,A224.Y,A224-M01.Y,pass,0.455,0.615,0.494,ump-t3,trim-sp-wld,2019.05.25,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
FM7920400VQM0XDC819,470.L,470.L,pass,0.145,0.265,0.219,ump-t1,CNC5-2,2019.05.25,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathLEFT
FM79212004SL82LCK22,327.L,327.L,pass,2.095,2.205,2.18,ump-t1,CNC5-2,2019.05.23,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM79213006QL82LCE22,092.L,092.L,pass,1.395,1.555,1.494,ump-t1,CNC5-2,2019.05.24,JACD_E04-1F-OQC01_1_HSG-TEST1,NestPathRIGHT
FM7913700CQM0XDE813,A111.N,A111.N,pass,5.635,5.945,5.73,ump-t3,la-nut-wld,2019.05.23,JACD_E04-2F-OQC01_1_OQC,NestPathRIGHT
